Microsoft (R) COFF/PE Dumper Version 14.44.35228.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    99A9CCCA time date stamp
        0.00 version
           2 ordinal base
        2001 number of functions
         478 number of names

    ordinal hint RVA      name

        572  1AB 00275F70 ShellExec_RunDLLW
        573  1AC 002760D0 ShellExecuteA
        574  1AD 00276170 ShellExecuteEx
        575  1AE 00276170 ShellExecuteExA
        576  1AF 00081400 ShellExecuteExW
        577  1B0 0005D800 ShellExecuteW
        578  1B1 003294F0 ShellHookProc
        183  1B2          ShellMessageBoxA (forwarded to shlwapi.ShellMessageBoxA)
        182  1B3          ShellMessageBoxW (forwarded to shlwapi.ShellMessageBoxW)
         72  1B4 00317020 Shell_GetCachedImageIndex
        579  1B5 00317030 Shell_GetCachedImageIndexA
        580  1B6 00010610 Shell_GetCachedImageIndexW
         71  1B7 000620D0 Shell_GetImageLists
         67  1B8 0009D510 Shell_MergeMenus
        581  1B9 001A7820 Shell_NotifyIcon
        582  1BA 001A7820 Shell_NotifyIconA
        583  1BB 001B39D0 Shell_NotifyIconGetRect
        584  1BC 000BC010 Shell_NotifyIconW
        103  1BD 000588A0 SignalFileOpen
        585  1BE 0005D180 StateRepoNewMenuCache_EnsureCacheAsync
        586  1BF 0005C490 StateRepoNewMenuCache_RebuildCacheAsync
        682  1C0 003AD0B0 StgMakeUniqueName
        587  1C1 000F1C50 StrChrA
        588  1C2 000F1C60 StrChrIA
        589  1C3 000F1C70 StrChrIW
        590  1C4 000F1C80 StrChrW
        591  1C5 000F1C90 StrCmpNA
        592  1C6 000F1CA0 StrCmpNIA
        593  1C7 000F1CB0 StrCmpNIW
        594  1C8 000F1CC0 StrCmpNW
        595  1C9 00247840 StrNCmpA
        596  1CA 00247900 StrNCmpIA
        597  1CB 002479C0 StrNCmpIW
        598  1CC 00247AA0 StrNCmpW
        599  1CD 000F1CD0 StrRChrA
        600  1CE 000F1CE0 StrRChrIA
        601  1CF 000F1CF0 StrRChrIW
        602  1D0 000F1D00 StrRChrW
        603  1D1 00247B90 StrRStrA
        604  1D2 000F1D10 StrRStrIA
        605  1D3 000F1D20 StrRStrIW
        606  1D4 00247C70 StrRStrW
        607  1D5 000F1D30 StrStrA
        608  1D6 000F1D40 StrStrIA
        609  1D7 000F1D50 StrStrIW
        610  1D8 000F1D60 StrStrW
        611  1D9 003AF180 UsersLibrariesFolderUI_CreateInstance
        612  1DA 00276280 WOWShellExecute
        613  1DB 002F8EA0 WaitForExplorerRestartW
        164  1DC 002483D0 Win32DeleteFile
        652  1DD 00245470 WriteCabinetState
          5               [NONAME] (forwarded to SHUNIMPL.#35)
          7               [NONAME] (forwarded to SHUNIMPL.#192)
          8               [NONAME] (forwarded to SHUNIMPL.#193)
         12      0039B700 [NONAME]
         15      003250D0 [NONAME]
         20      000A4150 [NONAME]
         26               [NONAME] (forwarded to SHUNIMPL.#36)
         29      002D27C0 [NONAME]
         30               [NONAME] (forwarded to shlwapi.PathBuildRootW)
         31               [NONAME] (forwarded to shlwapi.PathFindExtensionW)
         32               [NONAME] (forwarded to shlwapi.PathAddBackslashW)
         33               [NONAME] (forwarded to shlwapi.PathRemoveBlanksW)
         34               [NONAME] (forwarded to shlwapi.PathFindFileNameW)
         35      002D33B0 [NONAME]
         36      002D2320 [NONAME]
         37               [NONAME] (forwarded to shlwapi.PathCombineW)
         38               [NONAME] (forwarded to shlwapi.PathStripPathW)
         39               [NONAME] (forwarded to shlwapi.PathIsUNCW)
         40               [NONAME] (forwarded to shlwapi.PathIsRelativeW)
         44      002D5B90 [NONAME]
         45      002D23E0 [NONAME]
         46               [NONAME] (forwarded to shlwapi.PathMatchSpecW)
         48               [NONAME] (forwarded to shlwapi.PathSetDlgItemPathW)
         50               [NONAME] (forwarded to shlwapi.PathStripToRootW)
         52               [NONAME] (forwarded to shlwapi.PathGetArgsW)
         53               [NONAME] (forwarded to SHUNIMPL.#388)
         54      002EE8E0 [NONAME]
         55               [NONAME] (forwarded to shlwapi.PathQuoteSpacesW)
         56               [NONAME] (forwarded to shlwapi.PathUnquoteSpacesW)
         57               [NONAME] (forwarded to shlwapi.PathGetDriveNumberW)
         58      002A2BE0 [NONAME]
         60      002EE800 [NONAME]
         61      0031CCE0 [NONAME]
         65      002B7B20 [NONAME]
         69      00326730 [NONAME]
         70      002456E0 [NONAME]
         76      00249BE0 [NONAME]
         78               [NONAME] (forwarded to SHUNIMPL.#37)
         79               [NONAME] (forwarded to SHUNIMPL.#38)
         82               [NONAME] (forwarded to SHUNIMPL.#39)
         84               [NONAME] (forwarded to SHUNIMPL.#40)
         86               [NONAME] (forwarded to SHUNIMPL.#41)
         87               [NONAME] (forwarded to SHUNIMPL.#42)
         91      002A3EC0 [NONAME]
         93               [NONAME] (forwarded to shcore.Win32CreateDirectory)
         94      002483E0 [NONAME]
         95      000C6910 [NONAME]
         96               [NONAME] (forwarded to SHUNIMPL.#43)
         97      0039B800 [NONAME]
         99      000DE4F0 [NONAME]
        101               [NONAME] (forwarded to SHUNIMPL.#1)
        104               [NONAME] (forwarded to SHUNIMPL.#2)
        105               [NONAME] (forwarded to SHUNIMPL.#3)
        106               [NONAME] (forwarded to SHUNIMPL.#4)
        107               [NONAME] (forwarded to SHUNIMPL.#5)
